"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","523","Verify booking dates have valid format","","2026-05-15","passed","2026-05-15","","api.rest.tests.ValidationAPITest","api.rest.tests.ValidationAPITest","dateFormatValidationTest"
"","367","Verify user cannot get non-existent booking","","2026-05-15","passed","2026-05-15","","api.rest.tests.NegativeAPITest","api.rest.tests.NegativeAPITest","getNonExistentBookingTest"
"","471","Verify user can get all booking ids","","2026-05-15","passed","2026-05-15","","api.rest.tests.SearchAndFilterTest","api.rest.tests.SearchAndFilterTest","getAllBookingsTest"
"","3417","Verify user can submit registration form","","2026-05-15","passed","2026-05-15","","ui.tests.FormTest","ui.tests.FormTest","SubmitRegistrationFormTest"
"","4072","shouldCreateBookingViaApiAndSubmitUiFormWithBookingData()","","2026-05-15","passed","2026-05-15","","integration.ApiUiIntegrationTest","integration.ApiUiIntegrationTest","shouldCreateBookingViaApiAndSubmitUiFormWithBookingData"
"","127","Should return movies with nested poster fields using a fragment","","2026-05-15","passed","2026-05-15","","api.graphql.tests.GQLPositiveTest","api.graphql.tests.GQLPositiveTest","shouldReturnMoviesWithNestedPosterUsingFragment"
"","5440","Verify user can edit a record","","2026-05-15","passed","2026-05-15","","ui.tests.WebTableTest","ui.tests.WebTableTest","editRecordTest"
"","377","Verify user cannot get auth token with invalid credentials Invalid credentials: username=admin, password=wrongPassword","","2026-05-15","passed","2026-05-15","","api.rest.tests.AuthenticationTest","api.rest.tests.AuthenticationTest","receiveAuthTokenWithInvalidCredentialsTest"
"","746","Verify user cannot update booking without token","","2026-05-15","passed","2026-05-15","","api.rest.tests.NegativeAPITest","api.rest.tests.NegativeAPITest","updateBookingWithoutTokenTest"
"","398","Verify user cannot authenticate with invalid credentials","","2026-05-15","passed","2026-05-15","","api.rest.tests.NegativeAPITest","api.rest.tests.NegativeAPITest","invalidAuthenticationTest"
"","1097","Verify user can update booking by id","","2026-05-15","passed","2026-05-15","","api.rest.tests.BookingApiCRUDTest","api.rest.tests.BookingApiCRUDTest","updateBookingByIdTest"
